01-007-00280,,,Phường Đồng Tâm,11367529,Success
01-007-00283,,,Phường Vĩnh Tuy,11367531,Success
01-007-00286,,,Phường Bạch Mai,11367535,Success
01-007-00289,,,Phường Quỳnh Mai,11367533,Success
01-007-00292,,,Phường Quỳnh Lôi,11367534,Success
01-007-00295,,,Phường Minh Khai,,Failure
01-007-00298,,,Phường Trương Định,11367530,Success
01-008-00000,,Quận Hoàng Mai,,9421133,Success
01-008-00301,,,Phường Thanh Trì,15619284,Success
01-008-00304,,,Phường Vĩnh Hưng,15619285,Success
01-008-00307,,,Phường Định Công,15619293,Success
01-008-00310,,,Phường Mai Động,15619287,Success
01-008-00313,,,Phường Tương Mai,15619296,Success
01-008-00316,,,Phường Đại Kim,15619292,Success
01-008-00319,,,Phường Tân Mai,15619297,Success
01-008-00322,,,Phường Hoàng Văn Thụ,15619288,Success
01-008-00325,,,Phường Giáp Bát,15619295,Success
01-008-00328,,,Phường Lĩnh Nam,15619286,Success
01-008-00331,,,Phường Thịnh Liệt,15619294,Success
01-008-00334,,,Phường Trần Phú,15619289,Success
01-008-00337,,,Phường Hoàng Liệt,15619291,Success
01-008-00340,,,Phường Yên Sở,15619290,Success
01-009-00000,,Quận Thanh Xuân,,9421130,Success
01-009-00343,,,Phường Nhân Chính,15984741,Success
01-009-00346,,,Phường Thượng Đình,15984745,Success
01-009-00349,,,Phường Khương Trung,15984749,Success
01-009-00352,,,Phường Khương Mai,15984750,Success
01-009-00355,,,Phường Thanh Xuân Trung,15984743,Success
01-009-00358,,,Phường Phương Liệt,15984751,Success
01-009-00361,,,Phường Hạ Đình,15984746,Success
01-009-00364,,,Phường Khương Đình,15984748,Success
01-009-00367,,,Phường Thanh Xuân Bắc,15984742,Success
01-009-00370,,,Phường Thanh Xuân Nam,15984744,Success
01-009-00373,,,Phường Kim Giang,15984747,Success
01-016-00000,,Huyện Sóc Sơn,,7114806,Success
01-016-00376,,,Thị trấn Sóc Sơn,,Failure
01-016-00379,,,Xã Bắc Sơn,,Failure
01-016-00382,,,Xã Minh Trí,,Failure
01-016-00385,,,Xã Hồng Kỳ,,Failure
01-016-00388,,,Xã Nam Sơn,,Failure
01-016-00391,,,Xã Trung Giã,,Failure
01-016-00394,,,Xã Tân Hưng,,Failure
01-016-00397,,,Xã Minh Phú,,Failure
01-016-00400,,,Xã Phù Linh,,Failure
01-016-00403,,,Xã Bắc Phú,,Failure
01-016-00406,,,Xã Tân Minh,,Failure
01-016-00409,,,Xã Quang Tiến,,Failure
01-016-00412,,,Xã Hiền Ninh,,Failure
01-016-00415,,,Xã Tân Dân,,Failure
01-016-00418,,,Xã Tiên Dược,,Failure
01-016-00421,,,Xã Việt Long,,Failure
01-016-00424,,,Xã Xuân Giang,,Failure
01-016-00427,,,Xã Mai Đình,,Failure
01-016-00430,,,Xã Đức Hoà,,Failure
01-016-00433,,,Xã Thanh Xuân,,Failure
